player_name,nation,position,squad,compition,age_years,born_year,match_played,starts,min,goal,assist,expected_goal,expected_assisted_goal,non-penalty_expected_goal,progressive_carries,progressive_passes,progressive_passes_receive,age_scaled,value_score,value_tier
Federico Dimarco,ITA,DF,Inter,Serie A,25,1997,25,21,1677.0,3.0,2.0,2.4,7.4,5.0,37.0,159.0,0.11,0.4203842733465803,5.5937888854269175,High
Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,29,1993,25,25,2250.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5326433139385727,-0.09488663263114172,Mid
Junior Dina Ebimbe,FRA,"DF,MF",Eint Frankfurt,Bundesliga,22,2000,11,8,780.0,2.0,1.0,1.9,1.4,1.9,28.0,28.0,26.0,1.135154963810445,-0.9785904050294085,Mid
Sinaly Diomande,CIV,DF,Lyon,Ligue 1,21,2001,16,15,1299.0,0.5,1.0,4.0,0.04,3.0,0.04,0.04,0.0,1.3734118606317332,-0.7618279247653519,Mid
Lois Diony,FRA,FW,Angers,Ligue 1,30,1992,8,5,437.0,1.0,1.0,1.7,2.1,0.3,13.0,48.0,,-0.7709002107598608,-4.029280730210738,Low
Issa Diop,FRA,DF,Fulham,Premier League,26,1997,18,15,1416.0,1.0,1.0,0.3,54.0,0.3,8.0,0.06,0.06,0.18212737652529207,1.4532231983451447,High
Sofiane Diop,FRA,"MF,FW",Nice,Ligue 1,22,2000,18,12,1007.0,1.0,4.0,1.4,1.4,1.4,42.0,44.0,71.0,1.135154963810445,0.9271551434362901,Mid
Yehvann Diouf,FRA,GK,Reims,Ligue 1,23,1999,21,21,1890.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8968980669891568,0.1906954351648994,Mid
Axel Disasi,FRA,DF,Monaco,Ligue 1,25,1998,28,27,2430.0,2.0,3.0,2.8,2.0,2.0,50.0,3.1,159.0,0.4203842733465803,4.1460773017590835,High
Tiago Djaló,POR,DF,Lille,Ligue 1,22,2000,25,24,2017.0,2.0,2.0,1.3,1.4,0.1,9.0,4.0,0.09,1.135154963810445,1.7589397837891658,High
Djené,TOG,DF,Getafe,La Liga,31,1991,23,23,1986.0,0.3,1.0,5.0,0.7,0.4,0.01,12.0,0.05,-1.0091571075811492,-0.48860910490185216,Mid
Moussa Djenepo,MLI,"DF,FW",Southampton,Premier League,24,1998,12,6,578.0,0.2,1.0,23.0,17.0,0.4,,,,0.6586411701678685,0.4835749407681733,Mid
Koffi Djidji,CIV,DF,Torino,Serie A,30,1992,24,20,1831.0,1.0,1.0,0.9,1.1,0.1,6.0,12.0,0.05,-0.7709002107598608,-0.9987309169551514,Mid
Alexander Djiku,GHA,DF,Strasbourg,Ligue 1,28,1994,25,25,2156.0,1.0,2.0,1.2,0.6,1.2,4.0,125.0,3.0,-0.2943864171172844,3.378494848821043,High
Berat Djimsiti,ALB,DF,Atalanta,Serie A,30,1993,14,10,936.0,0.4,2.0,6.0,0.04,6.0,0.04,0.04,0.0,-0.7709002107598608,-4.009956327139709,Low
Ritsu Doan,JPN,"FW,MF",Freiburg,Bundesliga,24,1998,25,22,1770.0,4.0,3.0,5.0,2.2,5.0,61.0,48.0,140.0,0.6586411701678685,4.420394511429873,High
Dodô,BRA,DF,Fiorentina,Serie A,24,1998,23,20,1661.0,0.5,2.0,40.0,1.4,0.5,0.03,103.0,80.0,0.6586411701678685,5.703275144205141,High
Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,24,1998,16,16,1406.0,4.0,1.0,1.3,1.5,0.2,13.0,14.0,0.06,0.6586411701678685,-0.39374817317943744,Mid
Matt Doherty,IRL,"DF,MF",Tottenham,Premier League,31,1992,12,7,667.0,1.0,1.0,0.8,20.0,1.0,16.0,,,-1.0091571075811492,-2.84573859860697,Low
Josh Doig,SCO,DF,Hellas Verona,Serie A,20,2002,19,14,1240.0,2.0,3.0,1.8,1.0,1.8,40.0,24.0,57.0,1.6116687574530215,1.4950642220179937,High
Jeremy Doku,BEL,"MF,FW",Rennes,Ligue 1,20,2002,19,5,601.0,1.0,1.0,1.3,32.0,2.7,43.0,,,1.6116687574530215,1.369623442012475,High
Kasper Dolberg,DEN,"FW,MF",Hoffenheim,Bundesliga,25,1997,8,4,342.0,0.4,0.4,4.0,,18.0,,,,0.4203842733465803,-2.6961541580849238,Low
Nicolás Domínguez,ARG,MF,Bologna,Serie A,24,1998,21,18,1581.0,1.0,2.0,1.2,1.8,1.2,26.0,95.0,53.0,0.6586411701678685,2.7528041487939063,High
Giulio Donati,ITA,DF,Monza,Serie A,33,1990,6,3,309.0,1.0,1.0,0.4,0.4,0.4,3.0,8.0,,-1.4856709012237255,-6.883236584666623,Low
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,24,1999,28,28,2520.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6586411701678685,1.9543673363240652,High
Gabriel Dos Santos,BRA,DF,Arsenal,Premier League,25,1997,28,28,2515.0,3.0,3.0,3.8,4.0,0.2,14.0,11.0,0.11,0.4203842733465803,3.1958308569168015,High
Abdoulaye Doucouré,MLI,MF,Everton,Premier League,30,1993,18,10,936.0,2.0,2.0,1.3,1.2,1.3,13.0,28.0,29.0,-0.7709002107598608,-3.0985864987803975,Low
Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,23,2000,25,25,2023.0,0.8,2.0,13.0,1.6,0.8,0.04,102.0,11.0,0.8968980669891568,4.745669503859993,High
Désiré Doué,FRA,"MF,FW",Rennes,Ligue 1,17,2005,21,10,1003.0,3.0,1.0,1.5,1.3,1.5,34.0,49.0,73.0,2.3264394479168864,1.5995457860312343,High
Ismaël Doukouré,FRA,DF,Strasbourg,Ligue 1,19,2003,18,16,1471.0,1.0,1.0,0.2,0.4,0.2,17.0,69.0,13.0,1.8499256542743097,2.2681368705221363,High
Kamory Doumbia,MLI,MF,Reims,Ligue 1,20,2003,20,11,910.0,2.0,2.0,3.3,2.5,1.0,24.0,5.1,62.0,1.6116687574530215,-0.42408732685490014,Mid
Souleyman Doumbia,CIV,"DF,FW",Angers,Ligue 1,26,1996,21,21,1714.0,1.0,2.0,45.0,53.0,2.5,0.05,0.08,0.13,0.18212737652529207,6.43877302870958,High
Flynn Downes,ENG,MF,West Ham,Premier League,24,1999,12,4,397.0,0.2,0.2,1.0,,,,,,0.6586411701678685,-2.6416216992192822,Low
Bartlomiej Dragowski,POL,GK,Spezia,Serie A,25,1997,25,25,2136.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4203842733465803,0.6704098244281234,Mid
Dion Drena Beljo,CRO,"FW,MF",Augsburg,Bundesliga,21,2002,9,7,477.0,1.0,1.0,0.3,0.5,0.2,4.0,23.0,,1.3734118606317332,-2.7866731827597135,Low
Dominick Drexler,GER,"MF,FW",Schalke 04,Bundesliga,32,1990,18,12,1014.0,3.0,3.0,1.9,1.9,1.0,10.0,3.6,34.0,-1.2474140044024373,-3.8087698134792047,Low
Domingos Duarte,POR,DF,Getafe,La Liga,28,1995,24,24,2104.0,1.1,2.0,4.0,0.8,1.1,0.05,49.0,0.09,-0.2943864171172844,1.381340336713055,High
Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,29,1994,25,25,2090.0,8.0,5.0,8.1,7.3,2.0,25.0,11.2,41.0,-0.5326433139385727,2.2212371613772723,High
Ondrej Duda,SVK,MF,Hellas Verona,Serie A,28,1994,8,7,624.0,0.6,3.0,6.0,14.0,29.0,,,,-0.2943864171172844,-1.9876636657570783,Low
Ondrej Duda,SVK,MF,Köln,Bundesliga,28,1994,13,9,689.0,0.7,4.0,12.0,33.0,40.0,,,,-0.2943864171172844,0.06704239973388493,Mid
Denzel Dumfries,NED,DF,Inter,Serie A,26,1996,24,18,1561.0,1.0,3.0,2.9,3.8,2.9,40.0,39.0,127.0,0.18212737652529207,1.779019718735495,High
Alfred Duncan,GHA,MF,Fiorentina,Serie A,30,1993,16,7,611.0,0.2,2.0,10.0,19.0,41.0,,,,-0.7709002107598608,-1.82419587991133,Low
Lewis Dunk,ENG,DF,Brighton,Premier League,31,1991,25,25,2249.0,1.1,2.0,12.0,1.0,96.0,0.04,0.07,0.04,-1.0091571075811492,0.5867989914097882,Mid
Maxime Dupé,FRA,GK,Toulouse,Ligue 1,30,1993,28,28,2520.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7709002107598608,0.5248259553963359,Mid
Hugo Duro,ESP,FW,Valencia,La Liga,23,1999,20,9,971.0,1.0,1.0,3.2,0.7,2.4,9.0,9.0,55.0,0.8968980669891568,-2.0136809784641003,Low
Jean-Kevin Duverne,FRA,DF,Brest,Ligue 1,25,1997,24,18,1748.0,0.4,1.0,47.0,85.0,106.0,0.02,0.05,0.02,0.4203842733465803,8.392676097160159,High
Paulo Dybala,ARG,"MF,FW",Roma,Serie A,29,1993,20,18,1431.0,9.0,6.0,6.3,3.0,2.0,42.0,5.7,10.3,-0.5326433139385727,0.3882542927142194,Mid
Edin Deko,BIH,FW,Inter,Serie A,37,1986,27,17,1566.0,7.0,3.0,8.7,3.0,8.7,25.0,60.0,125.0,-2.4386984885088787,-0.6534028268728163,Mid
Enzo Ebosse,CMR,DF,Udinese,Serie A,24,1999,20,9,930.0,0.1,3.0,11.0,0.01,20.0,0.01,0.01,0.0,0.6586411701678685,-2.2747844046046772,Low
Tyronne Ebuehi,NGA,DF,Empoli,Serie A,27,1995,16,12,1070.0,2.0,1.0,2.1,2.4,0.3,11.0,27.0,0.08,-0.05612952029599616,-1.8586190317438431,Low
Ederson,BRA,GK,Manchester City,Premier League,29,1993,27,27,2430.0,0.0,1.0,0.0,0.04,0.2,0.0,0.04,0.01,-0.5326433139385727,0.4804386200739086,Mid
Éderson,BRA,MF,Atalanta,Serie A,23,1999,24,16,1446.0,1.0,1.0,1.5,3.0,1.5,22.0,38.0,0.06,0.8968980669891568,1.013376939756213,Mid
Odsonne Édouard,FRA,FW,Crystal Palace,Premier League,25,1998,25,14,1277.0,3.0,2.0,3.1,1.0,3.1,21.0,29.0,67.0,0.4203842733465803,-0.2548587123700317,Mid
Samuel Edozie,ENG,"FW,MF",Southampton,Premier League,20,2003,15,5,541.0,0.9,0.9,22.0,,34.0,,,,1.6116687574530215,0.6063963098380085,Mid
Maximilian Eggestein,GER,MF,Freiburg,Bundesliga,26,1996,24,20,1829.0,1.0,2.0,0.6,0.9,0.6,17.0,68.0,33.0,0.18212737652529207,1.7826356019167353,High
Íñigo Eguaras,ESP,MF,Almería,La Liga,31,1992,19,10,845.0,1.0,1.0,1.0,0.6,1.0,6.0,53.0,6.0,-1.0091571075811492,-3.2541138948897474,Low
Kingsley Ehizibue,NED,DF,Udinese,Serie A,27,1995,21,10,1055.0,2.0,2.0,1.7,2.5,0.8,24.0,55.0,0.17,-0.05612952029599616,-0.9142417017385682,Mid
Chidera Ejuke,NGA,"FW,MF",Hertha BSC,Bundesliga,25,1998,15,9,790.0,1.4,3.0,33.0,36.0,2.5,,,,0.4203842733465803,3.0456081354578948,High
Albin Ekdal,SWE,MF,Spezia,Serie A,33,1989,20,9,953.0,1.0,2.0,4.0,1.3,1.0,0.1,42.0,9.0,-1.4856709012237255,-3.9118077677614096,Low
Hugo Ekitike,FRA,FW,Paris S-G,Ligue 1,20,2002,19,8,827.0,3.0,3.0,2.8,3.8,1.1,17.0,60.0,0.33,1.6116687574530215,0.08531890340136772,Mid
Anthony Elanga,SWE,FW,Manchester Utd,Premier League,20,2002,16,5,426.0,0.7,1.0,12.0,8.0,1.6,,,,1.6116687574530215,-0.48943001554094545,Mid
Harvey Elliott,ENG,"MF,FW",Liverpool,Premier League,19,2003,26,16,1428.0,1.0,2.0,1.7,3.1,1.7,46.0,114.0,118.0,1.8499256542743097,4.91108966909528,High
Elif Elmas,MKD,"FW,MF",Napoli,Serie A,23,1999,26,7,1019.0,6.0,2.0,3.4,3.0,1.0,26.0,1.4,4.0,0.8968980669891568,-1.4718258255356895,Mid
Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,29,1994,16,12,1028.0,0.6,1.0,15.0,1.0,0.6,0.05,38.0,14.0,-0.5326433139385727,-1.5342122634694022,Mid
Nico Elvedi,SUI,DF,M'Gladbach,Bundesliga,26,1996,23,23,2025.0,3.0,3.0,2.2,2.5,0.3,14.0,4.0,0.13,0.18212737652529207,1.0552104403048024,High
Rodrigo Ely,BRA,DF,Almería,La Liga,29,1993,25,25,2165.0,0.7,6.0,6.0,35.0,0.9,0.03,0.01,0.04,-0.5326433139385727,2.384962032429435,High
Sepe Elye Wahi,FRA,FW,Montpellier,Ligue 1,20,2003,24,21,1831.0,12.0,1.0,8.1,8.1,1.0,41.0,9.1,20.0,1.6116687574530215,4.108779297815902,High
Mohamed Elyounoussi,NOR,"MF,FW",Southampton,Premier League,28,1994,25,21,1734.0,2.6,1.0,43.0,4.6,2.0,0.13,85.0,0.05,-0.2943864171172844,5.0351541635389605,High
Adri Embarba,ESP,"FW,MF",Almería,La Liga,30,1992,20,12,969.0,1.0,3.0,1.6,1.6,1.0,44.0,4.5,31.0,-0.7709002107598608,-1.8887910875622798,Low
Breel Embolo,SUI,FW,Monaco,Ligue 1,26,1997,28,19,1757.0,12.0,2.0,8.1,7.2,2.0,19.0,10.4,47.0,0.18212737652529207,1.263544692159167,High
Emerson,BRA,DF,Tottenham,Premier League,24,1999,22,16,1391.0,2.0,1.0,1.6,1.6,1.0,42.0,2.3,70.0,0.6586411701678685,0.6422636602274757,Mid
Youssef En-Nesyri,MAR,FW,Sevilla,La Liga,25,1997,22,11,1049.0,5.0,5.0,6.5,7.0,0.5,10.0,50.0,0.43,0.4203842733465803,-0.3617952691435072,Mid
Wataru Endo,JPN,MF,Stuttgart,Bundesliga,30,1993,24,24,2112.0,3.0,2.0,2.5,4.7,2.2,22.0,51.0,0.09,-0.7709002107598608,2.0551293244028526,High
Arne Engels,BEL,MF,Augsburg,Bundesliga,19,2003,10,10,826.0,0.2,2.0,6.0,1.9,1.7,0.03,11.0,0.22,1.8499256542743097,-1.1921371412922568,Mid
Christian Eriksen,DEN,MF,Manchester Utd,Premier League,31,1992,19,18,1489.0,1.0,7.0,2.7,3.0,2.7,16.0,104.0,42.0,-1.0091571075811492,0.9090382786383622,Mid
Martin Erlic,CRO,DF,Sassuolo,Serie A,25,1998,20,19,1698.0,0.1,2.0,4.0,0.01,44.0,0.01,0.01,0.01,0.4203842733465803,-0.5105410133190387,Mid
Gonzalo Escalante,ARG,MF,Cremonese,Serie A,30,1993,9,7,555.0,0.2,1.0,3.0,0.4,0.2,,8.0,,-0.7709002107598608,-4.291968987194506,Low
Gonzalo Escalante,ARG,MF,Cádiz,La Liga,30,1993,8,7,600.0,2.0,2.0,1.2,1.6,0.4,1.0,3.0,,-0.7709002107598608,-5.2071959476764285,Low
Sergio Escudero,ESP,DF,Valladolid,La Liga,33,1989,14,12,954.0,0.6,3.0,10.0,25.0,25.0,0.06,0.11,0.06,-1.4856709012237255,-2.5752335940556756,Low
Alfonso Espino,URU,DF,Cádiz,La Liga,31,1992,25,24,2132.0,0.9,3.0,33.0,2.3,1.4,0.04,86.0,0.13,-1.0091571075811492,4.359242652632336,High
Bernardo Espinosa,COL,DF,Girona,La Liga,33,1989,14,10,846.0,0.5,1.0,4.0,19.0,0.6,0.06,0.11,0.11,-1.4856709012237255,-3.9320322292619556,Low
Maxime Estève,FRA,DF,Montpellier,Ligue 1,20,2002,19,15,1362.0,0.4,3.0,9.0,1.0,37.0,0.03,0.03,0.03,1.6116687574530215,0.09340458430426035,Mid
Pervis Estupiñán,ECU,DF,Brighton,Premier League,25,1998,22,19,1577.0,0.5,3.0,55.0,3.4,2.9,0.03,114.0,0.17,0.4203842733465803,6.948240726544007,High
Jonny Evans,NIR,DF,Leicester City,Premier League,35,1988,10,9,811.0,0.2,0.2,6.0,0.02,0.02,0.02,0.0,0.0,-1.962184694866302,-5.547936625981607,Low
Edu Expósito,ESP,MF,Espanyol,La Liga,26,1996,21,11,970.0,2.0,2.0,0.5,1.9,0.5,16.0,56.0,47.0,0.18212737652529207,-1.161382232546268,Mid
Eberechi Eze,ENG,"MF,FW",Crystal Palace,Premier League,24,1998,28,20,1736.0,4.0,3.0,3.3,3.0,3.3,43.0,77.0,69.0,0.6586411701678685,3.8757825931461283,High
Nicolás Ezequiel Fernández,ARG,"MF,DF",Elche,La Liga,23,2000,11,2,326.0,0.1,2.0,7.0,26.0,17.0,,,,0.8968980669891568,-1.175001872633656,Mid
Abdessamad Ezzalzouli,MAR,"FW,MF",Osasuna,La Liga,21,2001,19,12,925.0,1.0,2.0,1.4,1.4,1.0,50.0,2.7,28.0,1.3734118606317332,0.3807215801439947,Mid
Lukasz Fabianski,POL,GK,West Ham,Premier League,37,1985,24,24,2031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4386984885088787,-2.499364230213664,Low
Fabinho,BRA,MF,Liverpool,Premier League,29,1993,24,19,1685.0,0.4,6.0,8.0,22.0,101.0,0.02,0.06,0.02,-0.5326433139385727,0.18274718654128408,Mid
Noah Fadiga,SEN,DF,Brest,Ligue 1,23,1999,18,15,1193.0,1.0,1.0,0.6,0.7,0.1,37.0,31.0,0.08,0.8968980669891568,0.748829995972522,Mid
Wout Faes,BEL,DF,Leicester City,Premier League,24,1998,20,20,1796.0,0.5,5.0,6.0,52.0,0.9,0.03,0.02,0.05,0.6586411701678685,3.2851773621170515,High
Nicolò Fagioli,ITA,MF,Juventus,Serie A,22,2001,18,10,955.0,2.0,3.0,0.5,1.0,0.5,19.0,36.0,34.0,1.135154963810445,-0.7782681479926306,Mid
Ralf Fährmann,GER,GK,Schalke 04,Bundesliga,34,1988,8,8,720.0,,,0.0,0.0,0.0,0.0,,0.0,-1.7239277980450138,-5.316265666648749,Low
Romain Faivre,FRA,"FW,MF",Lorient,Ligue 1,24,1998,7,5,469.0,1.0,1.0,1.2,2.1,0.9,24.0,29.0,,0.6586411701678685,-2.5599499473149594,Low
Romain Faivre,FRA,MF,Lyon,Ligue 1,24,1998,10,3,300.0,0.2,1.0,14.0,24.0,0.5,,,,0.6586411701678685,-0.7965328460128847,Mid
Radamel Falcao,COL,"FW,MF",Rayo Vallecano,La Liga,37,1986,20,3,508.0,2.0,2.0,2.6,1.9,4.0,1.0,1.9,13.0,-2.4386984885088787,-7.458834531331204,Low
Wladimiro Falcone,ITA,GK,Lecce,Serie A,27,1995,27,27,2430.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05612952029599616,0.9536068175772787,Mid
Fali,ESP,"DF,MF",Cádiz,La Liga,29,1993,18,16,1272.0,0.4,5.0,3.0,7.0,42.0,0.03,0.04,0.03,-0.5326433139385727,-2.254890045191778,Low
Davide Faraoni,ITA,DF,Hellas Verona,Serie A,31,1991,13,11,791.0,1.0,2.0,1.9,0.7,1.9,8.0,38.0,20.0,-1.0091571075811492,-3.3940435361000167,Low
Ansu Fati,ESP,FW,Barcelona,La Liga,20,2002,24,9,932.0,3.0,3.0,6.2,1.0,6.2,28.0,24.0,119.0,1.6116687574530215,0.15748710525281662,Mid
Khalil Fayad,FRA,MF,Montpellier,Ligue 1,18,2004,19,5,544.0,0.4,2.0,6.0,1.0,0.4,,16.0,9.0,2.088182551095598,-1.2207251193523665,Mid
Federico Fazio,ARG,DF,Salernitana,Serie A,36,1987,13,12,1063.0,1.0,1.0,0.7,0.1,0.7,13.0,40.0,4.0,-2.20044159168759,-3.869238697035766,Low
Jacopo Fazzini,ITA,MF,Empoli,Serie A,20,2003,14,3,366.0,0.3,3.0,8.0,23.0,10.0,,,,1.6116687574530215,-0.3425439404024351,Mid
Zouhair Feddal,MAR,DF,Valladolid,La Liga,34,1989,8,4,375.0,0.2,1.0,,,5.0,,,,-1.7239277980450138,-4.491051064197199,Low
Nabil Fekir,FRA,MF,Betis,La Liga,29,1993,15,12,961.0,2.0,2.0,2.4,4.0,1.0,42.0,1.6,2.7,-0.5326433139385727,-1.6103460966222292,Mid
Felipe,BRA,DF,Nott'ham Forest,Premier League,33,1989,6,5,534.0,0.2,1.0,2.0,0.5,0.3,,,,-1.4856709012237255,-4.766732035504264,Low
Luiz Felipe,ITA,DF,Betis,La Liga,26,1997,14,13,1032.0,0.2,1.0,1.0,23.0,0.3,0.02,0.03,0.02,0.18212737652529207,-1.5861336209647454,Mid
João Félix,POR,"FW,MF",Chelsea,Premier League,23,1999,7,7,516.0,2.0,2.0,2.8,3.3,0.4,19.0,47.0,,0.8968980669891568,-1.5369147303750985,Mid
João Félix,POR,"FW,MF",Atlético Madrid,La Liga,23,1999,14,7,650.0,4.0,3.0,2.8,1.5,2.8,17.0,27.0,42.0,0.8968980669891568,-2.0034691041206267,Low
Ohis Felix Uduokhai,GER,DF,Augsburg,Bundesliga,25,1997,13,10,976.0,0.1,1.0,9.0,0.4,0.2,0.01,4.0,0.09,0.4203842733465803,-2.36152603937158,Low
Kiko Femenía,ESP,DF,Villarreal,La Liga,32,1991,15,10,899.0,26.0,0.6,0.0,0.06,0.06,0.0,0.0,0.0,-1.2474140044024373,-5.097603581045859,Low
Evan Ferguson,IRL,FW,Brighton,Premier League,18,2004,10,5,466.0,3.0,2.0,2.2,0.3,2.2,6.0,5.0,30.0,2.088182551095598,-2.5541950679740215,Low
Lewis Ferguson,SCO,MF,Bologna,Serie A,23,1999,21,18,1539.0,4.0,4.0,3.4,4.2,0.8,19.0,73.0,0.23,0.8968980669891568,2.4085957565316134,High
Bruno Fernandes,POR,"MF,FW",Manchester Utd,Premier League,28,1994,25,25,2248.0,5.0,6.0,5.3,5.0,1.0,55.0,10.1,14.6,-0.2943864171172844,3.6601352737787622,High
Edimilson Fernandes,SUI,DF,Mainz 05,Bundesliga,26,1996,23,19,1685.0,0.3,2.0,10.0,1.4,1.1,0.02,16.0,0.11,0.18212737652529207,0.25291252352912375,Mid
Aitor Fernández,ESP,GK,Osasuna,La Liga,31,1991,14,14,1260.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0091571075811492,-3.717288537385861,Low
Álex Fernández,ESP,"MF,FW",Cádiz,La Liga,30,1992,23,16,1423.0,3.0,3.0,2.5,1.2,1.8,16.0,55.0,23.0,-0.7709002107598608,-0.5625563197181767,Mid
Álvaro Fernández,ESP,GK,Espanyol,La Liga,24,1998,11,11,990.0,0.0,0.2,0.0,0.0,0.01,0.0,0.0,0.0,0.6586411701678685,-2.907459744485609,Low
Carlos Fernández,ESP,FW,Real Sociedad,La Liga,26,1996,15,6,408.0,1.0,1.0,1.1,1.5,0.4,5.0,39.0,,0.18212737652529207,-3.65964974411568,Low
Enzo Fernández,ARG,MF,Chelsea,Premier League,22,2001,7,7,623.0,0.5,2.0,9.0,74.0,1.7,,,,1.135154963810445,3.2624580185437013,High
Joaquín Fernández,ESP,DF,Valladolid,La Liga,26,1996,19,16,1511.0,1.0,1.0,0.5,0.6,0.1,6.0,1.0,0.06,0.18212737652529207,-1.4595160185259264,Mid
Fernando,ESP,GK,Almería,La Liga,32,1990,25,25,2205.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2474140044024373,-0.8837617166052254,Mid
Fernando,BRA,"MF,DF",Sevilla,La Liga,35,1987,15,14,1144.0,0.2,2.0,5.0,50.0,0.3,0.01,0.01,0.02,-1.962184694866302,-1.446872946108686,Mid
Alex Ferrari,ITA,DF,Sampdoria,Serie A,28,1994,12,10,868.0,0.2,3.0,7.0,3.0,25.0,0.02,0.06,0.02,-0.2943864171172844,-3.3793752339563228,Low
Alex Ferrari,ITA,DF,Cremonese,Serie A,28,1994,10,9,682.0,1.0,3.0,0.0,,1.0,,,,-0.2943864171172844,-2.5278484127833396,Low
Jordan Ferri,FRA,MF,Montpellier,Ligue 1,31,1992,25,24,2030.0,0.3,2.0,30.0,2.2,0.3,0.01,160.0,30.0,-1.0091571075811492,5.723275369460155,High
Fidel,ESP,"MF,FW",Elche,La Liga,33,1989,16,10,867.0,1.0,1.0,1.1,0.3,3.0,28.0,1.3,56.0,-1.4856709012237255,-3.9731331230965443,Low
Roberto Firmino,BRA,"FW,MF",Liverpool,Premier League,31,1991,19,11,1031.0,8.0,4.0,4.5,6.8,2.3,12.0,79.0,0.35,-1.0091571075811492,-1.2143167445775898,Mid
Junior Firpo,ESP,DF,Leeds United,Premier League,26,1996,11,7,739.0,1.0,1.0,0.1,0.5,0.4,13.0,22.0,,0.18212737652529207,-3.1814720773625513,Low
Kilian Fischer,GER,DF,Wolfsburg,Bundesliga,22,2000,6,4,375.0,0.3,1.0,3.0,9.0,17.0,,,,1.135154963810445,-1.951467076608577,Low
Mark Flekken,NED,GK,Freiburg,Bundesliga,29,1993,25,25,2250.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.5326433139385727,-0.09488663263114172,Mid
Florian Flick,GER,MF,Schalke 04,Bundesliga,22,2000,8,5,512.0,0.1,1.0,2.0,,2.0,,,,1.135154963810445,-1.746516811632061,Low
Alexis Flips,FRA,"FW,DF",Reims,Ligue 1,23,2000,23,20,1400.0,2.0,6.0,2.3,2.3,1.0,20.0,7.2,70.0,0.8968980669891568,0.6750368269444966,Mid
Phil Foden,ENG,FW,Manchester City,Premier League,22,2000,24,17,1406.0,9.0,5.0,4.8,3.0,4.8,39.0,62.0,221.0,1.135154963810445,2.9837967099694014,High
Seko Fofana,CIV,MF,Lens,Ligue 1,27,1995,26,25,2263.0,4.0,4.0,7.1,2.0,2.0,89.0,3.2,8.7,-0.05612952029599616,5.281853346292877,High
Wesley Fofana,FRA,DF,Chelsea,Premier League,22,2000,7,5,558.0,1.0,1.0,0.6,23.0,0.6,18.0,,,1.135154963810445,-0.906747486791146,Mid
Yahia Fofana,FRA,GK,Angers,Ligue 1,22,2000,8,8,720.0,,1.0,0.0,0.0,0.0,0.0,,,1.135154963810445,-2.4571829047932905,Low
Youssouf Fofana,FRA,MF,Monaco,Ligue 1,24,1999,27,26,2289.0,1.0,1.0,2.1,2.1,1.0,58.0,4.8,173.0,0.6586411701678685,4.360446568287054,High
Thomas Foket,BEL,DF,Reims,Ligue 1,28,1994,14,13,1159.0,0.1,0.1,30.0,0.11,98.0,0.01,0.01,0.11,-0.2943864171172844,-0.5564545794676865,Mid
José Fonte,POR,DF,Lille,Ligue 1,39,1983,23,22,1872.0,1.0,1.0,1.2,1.6,0.4,4.0,8.0,0.05,-2.915212282151455,-2.9316270751408258,Low
Pablo Fornals,ESP,"FW,MF",West Ham,Premier League,27,1996,22,11,1038.0,1.0,1.0,1.0,2.5,1.5,21.0,69.0,0.09,-0.05612952029599616,-0.6612924877820987,Mid
Emil Forsberg,SWE,"MF,FW",RB Leipzig,Bundesliga,31,1991,22,11,1096.0,6.0,3.0,4.6,2.0,2.0,19.0,1.8,4.8,-1.0091571075811492,-2.9567656476911974,Low
Fraser Forster,ENG,GK,Tottenham,Premier League,35,1988,7,7,630.0,,,0.0,0.0,0.0,0.0,,0.0,-1.962184694866302,-5.840512391752959,Low
Philipp Förster,GER,MF,Bochum,Bundesliga,28,1995,20,12,1024.0,2.0,5.0,0.7,2.0,0.7,15.0,47.0,38.0,-0.2943864171172844,-1.652873772590703,Mid
Dimitri Foulquier,FRA,"DF,MF",Valencia,La Liga,30,1993,20,11,1115.0,0.1,1.0,27.0,0.9,0.8,0.01,48.0,0.08,-0.7709002107598608,-0.4324443246216625,Mid
Juan Foyth,ARG,DF,Villarreal,La Liga,25,1998,15,13,1171.0,1.0,1.0,0.6,1.8,1.2,33.0,11.0,0.08,0.4203842733465803,-0.6458405064159634,Mid
